UNIQUE ID KEY;DEFAULT ENGLISH;TRANSLATION FOREIGN LANGUAGE
pagebuilder_dialog_hyperlink_title;Create or edit hyperlink;Create or edit hyperlink
pagebuilder_dialog_hyperlink_label_hyperlinkdescription;Description;Description
pagebuilder_dialog_hyperlink_label_hyperlinktarget;Target location URL;Target location URL
pagebuilder_dialog_hyperlink_label_opennewtab;Open in new tab;Open in new tab
pagebuilder_dialog_hyperlink_label_nofollow;Mark as: nofollow;Mark as: nofollow
pagebuilder_dialog_hyperlink_label_sponsored;Mark as: sponsored link;Mark as: sponsored link
pagebuilder_dialog_hyperlink_button_apply;Apply;Apply
pagebuilder_dialog_hyperlink_button_cancel;Cancel;Cancel
pagebuilder_button_exit;Exit;Exit
pagebuilder_button_save;Save;Save
pagebuilder_button_preview;Preview;Preview
pagebuilder_newpanel_inputsearch_placeholder;Search;Search
pagebuilder_tabhead_document_text;document;document
pagebuilder_tabhead_structure_text;structure;structure
pagebuilder_tabhead_element_text;element;element
pagebuilder_designobject-grid_sectiontitle_headings;headings;headings
pagebuilder_designobject_h1_seachslabelscsv;header1, header 1, heading1, heading 1;header1, header 1, heading1, heading 1
pagebuilder_designobject_h1_text;heading 1;heading 1
pagebuilder_designobject_h2_seachslabelscsv;header2, header 2, heading2, heading 2;header2, header 2, heading2, heading 2
pagebuilder_designobject_h2_text;heading 2;heading 2
pagebuilder_designobject_h3_seachslabelscsv;header3, header 3, heading3, heading 3;header3, header 3, heading3, heading 3
pagebuilder_designobject_h3_text;heading 3;heading 3
pagebuilder_designobject_h4_seachslabelscsv;header4, header 4, heading4, heading 4;header4, header 4, heading4, heading 4
pagebuilder_designobject_h4_text;heading 4;heading 4
pagebuilder_designobject_h5_seachslabelscsv;header5, header 5, heading5, heading 5;header5, header 5, heading5, heading 5
pagebuilder_designobject_h5_text;heading 5;heading 5
pagebuilder_designobject_h6_seachslabelscsv;header6, header 6, heading6, heading 6;header6, header 6, heading6, heading 6
pagebuilder_designobject_h6_text;heading 6;heading 6
pagebuilder_panel_adddragtarget_text_dragorclick;Drag new object here to add<br>or click plus-icon to add new object;Drag new object here to add<br>or click plus-icon to add new object
pagebuilder_panel_adddesignobjects_text_goback;Go back;Go back
list_column_sURLSlug;URL slug;URL slug
list_column_sNameInternal;Name;Name
list_column_sMetaModuleNameNice;Pagebuilder;Pagebuilder
list_column_iModuleVersionNumber;Ver;Ver
list_column_sLanguage;Language;Language
list_column_s_domein;Website;Website
list_column_enumVisibility;Visible;Visible
list_column_dtPublishDate;Published;Published
list_column_sName;Status;Status
list_column_dtRecordChanged;Changed;Changed
tab_title_pages;Pages;Pages
tabsheets_module_name_Pages;Pages;Pages
tabsheets_module_explanation_Manage webpages;Manage webpages;Manage webpages
tabsheets_module_name_Statusses;Statusses;Statusses
